device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	4926	18519	55%	2m 57s
Laptop	3044	6516	73%	1m 23s
Mobile	1421	4046	79%	5m 34s
Tablet	266	429	83%	32s
(not set)	2	2	100%	-
