source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	2127	11615	75%	11m 33s
Google	143	222	86%	33s
Bing	5	5	100%	-
niaid.nih.gov	3	5	67%	9m 20s
forms.office.com	3	3	100%	-
confluence.ncbi.nlm.nih.gov	2	2	100%	-
teams.public.onecdn.static.microsoft	1	3	0%	7m 33s
DuckDuckGo	1	1	100%	-
nekrut.github.io	1	5	0%	2m 30s
