device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	11567	28639	74%	1m 40s
Mobile	7046	50546	74%	11m 14s
Laptop	3044	6516	73%	1m 23s
Tablet	270	444	82%	32s
(not set)	245	275	98%	1s
