device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	5450	19867	57%	2m 49s
Laptop	3044	6516	73%	1m 23s
Mobile	2442	9054	79%	6m 42s
Tablet	266	429	83%	32s
(not set)	43	52	98%	1s
