device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	6936	22813	62%	2m 29s
Mobile	4632	23056	76%	8m 15s
Laptop	3044	6516	73%	1m 23s
Tablet	268	431	83%	31s
(not set)	156	174	99%	-
