browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	690	1784	58%	2m 23s
Safari	185	374	66%	1m 14s
Firefox	142	507	48%	1m 57s
Microsoft Edge	101	188	70%	1m 21s
Mobile App	11	13	92%	3s
Opera	11	19	91%	1m 08s
Samsung Browser	3	6	67%	1m 17s
Mobile Silk	2	2	100%	-
	2	2	100%	-
