Page url	Visitors	Pageviews	Bounce rate	Time on Page
/	328	412	72%	1m 59s
/data/organisms	55	98	71%	1m 26s
/learn/featured-analyses/standardizing-rnaseq-candidozyma-auris	40	43	97%	-
/data/assemblies	32	44	80%	1m 06s
/learn	22	26	60%	6s
/about	21	26	100%	-
/data/priority-pathogens	21	32	75%	3m 26s
/data/workflows	21	28	0%	23s
/learn/featured-analyses/evolutionary-dynamics-of-coding-overlaps-in-measles	15	19	88%	1s
/data/organisms/5059	11	11	100%	-
/data/organisms/5067	10	10	100%	-
/),	9	9	0%	-
/roadmap	9	11	75%	5s
/assistant	8	25	33%	4m 12s
/data/assemblies/GCA_030573285_1	7	10	-	-
/data/assemblies/GCA_030573285_1/analyze/workflows	7	9	-	-
/data/organisms/45524	7	10	100%	-
/data/priority-pathogens/filoviridae	5	7	0%	34m 10s
/calendar	4	5	33%	14s
/data/assemblies/GCA_030573285_1/analyze/workflows/workflow-github-com-iwc-workflows-haploid-variant-calling-wgs-pe-main-versions-v0-1	4	5	-	-
/data/assemblies/GCF_000836885_1/analyze/workflows	4	4	100%	-
/data/organisms/5116	4	4	100%	-
/data/organisms/64495	4	4	100%	-
/data/assemblies/GCA_009686845_1/analyze/workflows	3	3	100%	-
/data/assemblies/GCA_014850175_1	3	3	100%	-
/data/assemblies/GCA_023618365_1/analyze/custom	3	3	67%	21s
/data/assemblies/GCA_023618365_1/analyze/workflows	3	3	100%	-
/data/assemblies/GCA_023618895_1/analyze/workflows	3	3	67%	4m 05s
/data/assemblies/GCA_024703715_1	3	3	100%	-
/data/assemblies/GCA_030563865_1	3	3	-	-
/data/assemblies/GCA_047715655_1/analyze/workflows	3	3	100%	-
/data/assemblies/GCA_051943445_1/analyze/workflows/workflow-github-com-iwc-workflows-rnaseq-sr-main-versions-v1-3	3	3	100%	-
/data/assemblies/GCF_000008485_1	3	3	100%	-
/data/assemblies/GCF_000227135_1/analyze/workflows	3	3	100%	-
/data/assemblies/GCF_000855545_1	3	3	100%	-
/data/assemblies/GCF_000863945_3	3	3	33%	85m 53s
/data/assemblies/GCF_000864765_1	3	3	100%	-
/data/assemblies/GCF_040404335_1	3	3	50%	2m 03s
/data/organisms/45573	3	4	-	-
/data/organisms/485	3	3	100%	-
/data/organisms/5833	3	6	-	-
/data/organisms/6945	3	4	-	-
/data/workflows/differential-expression-analysis	3	6	-	-
/data/workflows/workflow-github-com-iwc-workflows-ploidy-aware-genotype-calling-main-versions-v0-1-1	3	3	100%	-
/data/workflows/workflow-github-com-iwc-workflows-sars-cov-2-pe-illumina-artic-variant-calling-COVID-19-PE-ARTIC-ILLUMINA-versions-v0-5-4	3	3	100%	-
/learn/getting-started	3	8	-	-
/learn/using-galaxy	3	3	100%	-
/data/[entityListType]/[entityId]/analyze/custom	2	2	-	-
/data/assemblies/GCA_000180635_4	2	2	100%	-
/data/assemblies/GCA_000230595_3/analyze/workflows	2	2	0%	5m 41s
/data/assemblies/GCA_000344635_1/analyze/workflows	2	2	100%	-
/data/assemblies/GCA_000410755_2/analyze/workflows/workflow-github-com-iwc-workflows-fastq-to-matrix-10x-scrna-seq-fastq-to-matrix-10x-cellplex-versions-v0-6-4	2	2	100%	-
/data/assemblies/GCA_000410755_2/analyze/workflows/workflow-github-com-iwc-workflows-rnaseq-pe-main-versions-v1-3	2	2	50%	26m 18s
/data/assemblies/GCA_000447495_1/analyze/workflows	2	2	100%	-
/data/assemblies/GCA_000447495_1/analyze/workflows/workflow-github-com-iwc-workflows-rnaseq-sr-main-versions-v1-3	2	2	100%	-
/data/assemblies/GCA_000613005_1/analyze/workflows	2	2	50%	1m 12s
/data/assemblies/GCA_000732565_1/analyze/workflows	2	2	-	-
/data/assemblies/GCA_000773845_1/analyze/workflows/differential-expression-analysis	2	2	-	-
/data/assemblies/GCA_000774085_1/analyze/workflows/workflow-github-com-iwc-workflows-consensus-peaks-consensus-peaks-atac-cutandrun-versions-v1-4	2	2	100%	-
/data/assemblies/GCA_000784505_1/analyze/custom	2	2	50%	10m 00s
/data/assemblies/GCA_000784505_1/analyze/workflows	2	2	100%	-
/data/assemblies/GCA_000784695_1/analyze/workflows/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	2	2	100%	-
/data/assemblies/GCA_000797555_1/analyze/workflows/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	2	2	100%	-
/data/assemblies/GCA_000798755_1/analyze/workflows/workflow-github-com-iwc-workflows-annotation-braker3-main-versions-v0-1	2	2	50%	8m 39s
/data/assemblies/GCA_000798755_1/analyze/workflows/workflow-github-com-iwc-workflows-ploidy-aware-genotype-calling-main-versions-v0-1-1	2	2	-	-
/data/assemblies/GCA_001243155_1/analyze/custom	2	2	100%	-
/data/assemblies/GCA_001307345_1/analyze/workflows/workflow-github-com-iwc-workflows-lncRNAs-annotation-main-versions-v0-1	2	2	0%	19m 23s
/data/assemblies/GCA_001511075_1/analyze/workflows	2	2	50%	4m 32s
