device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	7429	23709	63%	2m 23s
Mobile	6122	30948	76%	8m 57s
Laptop	3044	6516	73%	1m 23s
Tablet	270	444	82%	32s
(not set)	168	188	98%	-
