source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	233	938	50%	2m 47s
Google	43	177	50%	1m 51s
galaxyproject.org	13	18	77%	42s
niaid.nih.gov	11	32	45%	1m 26s
science.org	3	8	33%	41s
hgdownload.soe.ucsc.edu	1	1	100%	-
Yandex	1	1	100%	-
docs.galaxyproject.org	1	1	100%	-
Bing	1	1	100%	-
zt4.top	1	1	100%	-
GitHub	1	15	33%	19s
