source	Visitors	Pageviews	Bounce Rate	Duration
Direct / None	297	579	74%	1m 28s
Google	37	92	59%	2m 11s
galaxyproject.org	11	25	64%	12s
niaid.nih.gov	7	59	38%	3m 12s
Bing	4	11	75%	11s
nekrut.github.io	4	8	80%	5m 24s
LinkedIn	1	1	100%	-
jira.ncbi.nlm.nih.gov	1	5	0%	5m 41s
forms.office.com	1	3	0%	4m 10s
statics.teams.cdn.office.net	1	1	100%	-
GitHub	1	2	100%	-
bv-brc.org	1	1	100%	-
science.org	1	2	0%	34s
