device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	6750	22413	61%	2m 31s
Mobile	4103	18488	77%	7m 26s
Laptop	3044	6516	73%	1m 23s
Tablet	267	430	83%	32s
(not set)	144	161	99%	-
