browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	316	1295	49%	2m 41s
Safari	56	149	57%	53s
Firefox	38	95	54%	1m 51s
Microsoft Edge	26	70	62%	1m 14s
Opera	3	5	67%	18s
Mobile App	2	2	100%	-
Yandex Browser	1	1	100%	-
