device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	7031	23014	62%	2m 28s
Mobile	4967	25048	76%	8m 28s
Laptop	3044	6516	73%	1m 23s
Tablet	268	431	83%	31s
(not set)	159	177	99%	-
