country	Visitors	Pageviews	Bounce Rate	Duration
US	203	1153	46%	5m 00s
CN	20	27	90%	3s
BR	16	34	94%	54s
CH	14	20	73%	2m 07s
DE	12	56	47%	11m 03s
AU	12	21	67%	4s
GB	8	16	75%	6s
FR	8	29	33%	1m 45s
ES	8	30	22%	2m 09s
NL	7	11	75%	-
IN	7	24	43%	26s
CA	6	14	50%	18s
JP	6	16	50%	17s
KE	3	10	67%	4m 31s
IE	2	6	0%	-
MX	2	2	100%	-
BE	2	8	0%	55s
LK	2	6	50%	2m 48s
NO	1	1	100%	-
FI	1	1	100%	-
AE	1	7	0%	2m 41s
PT	1	1	100%	-
IL	1	1	100%	-
PL	1	5	0%	27s
DK	1	1	100%	-
CL	1	1	100%	-
RO	1	3	0%	35s
TH	1	5	0%	3m 25s
TR	1	1	100%	-
LB	1	1	100%	-
BZ	1	1	100%	-
RU	1	1	100%	-
NZ	1	1	100%	-
