device	Visitors	Pageviews	Bounce Rate	Duration
Desktop	5255	19288	56%	2m 52s
Laptop	3044	6516	73%	1m 23s
Mobile	1857	6464	78%	6m 46s
Tablet	266	429	83%	32s
(not set)	19	24	96%	3s
