browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	150	595	57%	4m 24s
Firefox	42	102	62%	2m 16s
Safari	22	42	62%	24s
Microsoft Edge	19	27	84%	1m 30s
Mobile App	4	6	75%	16s
Mobile Silk	1	1	100%	-
Whale Browser	1	1	100%	-
