country	Visitors	Pageviews	Bounce Rate	Duration
US	1271	10663	69%	14m 24s
CN	211	237	95%	19s
IR	203	203	100%	-
GB	74	74	100%	-
UA	64	64	100%	-
AU	38	80	73%	51s
IN	36	42	92%	18s
BD	30	30	100%	-
FR	28	40	89%	16s
DE	28	50	75%	17s
CA	25	26	96%	1s
BR	20	21	95%	-
PL	20	30	90%	15s
HK	19	19	100%	-
RO	17	17	100%	-
SG	16	16	100%	-
NL	15	15	100%	-
JP	12	51	83%	42s
CH	12	20	83%	28s
SE	11	17	91%	41s
IT	9	9	100%	-
MY	9	9	100%	-
TR	8	8	100%	-
AR	8	8	100%	-
PK	8	8	100%	-
ZA	7	7	100%	-
KR	7	9	86%	4m 00s
AL	4	4	100%	-
AE	4	4	100%	-
ES	4	4	100%	-
VN	4	4	100%	-
AO	4	4	100%	-
NO	4	4	100%	-
TH	3	6	67%	14s
MX	3	3	100%	-
BY	3	3	100%	-
DK	2	2	100%	-
LT	2	2	100%	-
KW	2	2	100%	-
PT	2	2	100%	-
SA	2	2	100%	-
GE	2	2	100%	-
CZ	2	2	100%	-
ID	2	2	100%	-
CL	2	2	100%	-
RU	2	2	100%	-
NP	2	2	100%	-
HU	2	2	100%	-
BE	2	2	100%	-
EG	1	1	100%	-
RS	1	1	100%	-
MU	1	1	100%	-
TW	1	1	100%	-
PH	1	1	100%	-
AT	1	1	100%	-
QA	1	1	100%	-
IS	1	1	100%	-
IE	1	1	100%	-
LK	1	1	100%	-
BG	1	1	100%	-
DO	1	1	100%	-
MD	1	1	100%	-
EC	1	1	100%	-
VE	1	1	100%	-
SV	1	1	100%	-
IQ	1	1	100%	-
JO	1	1	100%	-
PY	1	1	100%	-
BM	1	6	0%	17m 11s
