browser	Visitors	Pageviews	Bounce Rate	Duration
Chrome	241	1221	49%	4m 22s
Safari	44	117	77%	1m 34s
Firefox	39	136	43%	4m 41s
Microsoft Edge	20	29	76%	15s
Mobile App	7	7	100%	-
Sogou Explorer	1	3	0%	11s
Yandex Browser	1	1	100%	-
